"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Washable","Power","Capacity","Model Number","DQ Score"
"KIT","DIN","328610","Wilko Mug Colourplay Range Purple and White","Wilko","10.2CM","8.7CM","8.7CM","Mugs","10.2cm x 8.7cm","Purple","1",NA,NA,NA,NA,NA,1
"KIT","DIN","328611","Wilko Colourplay Cutlery Set Purple 16 Piece","Wilko","21.8CM","8.0CM","8.0CM","Cutlery Sets","16 Piece Set","Purple","16pcs",NA,NA,NA,NA,NA,1
"KIT","DIN","328619","Wilko Dinner Set Colourplay Range Red 12 pcs","Wilko","30.0CM","27.2CM","23.0CM","Dinner Sets","12 Piece","Red","1",NA,"Dishwasher proof",NA,NA,NA,1
"KIT","DIN","328620","Wilko Dinner Set Purple Colourplay Range 12 Piece","Wilko","30.0CM","27.2CM","23.0CM","Dinner Sets","12 Piece","Purple","1",NA,NA,NA,NA,NA,1
"KIT","DIN","328662","Wilko Dinner Plate Colourplay Range Red and White","Wilko","27.3CM","27.3CM","3.2CM","Dinner Plate","27cm","Red","1",NA,"Dishwasher proof",NA,NA,NA,1
"KIT","DIN","328663","Wilko Dinner Plate Colourplay Range Purple andWhite","Wilko","27.3CM","27.3CM","3.2CM","Dinner Plate","27cm","Purple","1",NA,"Dishwasher proof",NA,NA,NA,1
"KIT","DIN","329011","Wilko Placemats Heart Shaped Slate 2 Pack","Wilko","29.0CM","30.0CM","1.0CM","Placemats","2 Pack","Grey","1",NA,NA,NA,NA,NA,1
"KIT","DIN","329014","Wilko Slate Heart Coasters 4 pack","Wilko","12.0CM","11.0CM","1.0CM","Coasters","4 Pack","Grey","1",NA,NA,NA,NA,NA,1
"KIT","DIN","345692","Wilko Dinner Plate Heart Shaped White","Wilko","2.5CM","27.0CM","25.5CM","Dinner Plate","27cm","White","1",NA,NA,NA,NA,NA,1
"KIT","DIN","346118","Wilko Side Plate Heart Saped White","Wilko","2.0CM","19.0CM","18.0CM","Side Plate","18cm","White","1",NA,NA,NA,NA,NA,1
"KIT","DIN","407929","Wilko Utility Dinner Plate Grey 28.2cm","Wilko","3.0CM","28.2CM","28.2CM","Dinner Plate","3cm x28.2cm","Grey","1",NA,NA,NA,NA,NA,1
"KIT","DIN","407930","Wilko Utility Grey Side Plate 19cm","Wilko","2.7CM","19.0CM","19.0CM","Side Plate","2.7cm x 19cm","Grey","1",NA,NA,NA,NA,NA,1
"KIT","DIN","407931","Wilko Utility Bowl Grey 16cm","Wilko","7.5CM","16.0CM","16.0CM","Bowls","7.5cm x16cm","Grey","1",NA,NA,NA,NA,NA,1
"KIT","DIN","407932","Wilko Utility Mug Grey","Wilko","11.0CM","9.0CM","9.0CM","Mugs","11cm x 9cm","Grey","1",NA,NA,NA,NA,NA,1
"KIT","DIN","407934","Wilko Utility Tea Cup Large Grey","Wilko","7.5CM","16.5CM","16.5CM","Cup and Saucer","7.5cm x 16.5cm","Grey","1",NA,NA,NA,NA,NA,1
"KIT","DIN","407949","Wilko Utility Dinner Set Grey 12 Piece","Wilko","29.8CM","37.4CM","26.2CM","Dinner Sets","12 piece","Grey","12",NA,NA,NA,NA,NA,1
"KIT","DIN","407968","Wilko Dinner Plate With Love Kitchen Range","Wilko","2.5CM","26.0CM","26.0CM","Dinner Plate",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","407969","Wilko Side Plate With Love Kitchen Range","Wilko","1.5CM","19.0CM","19.0CM","Side Plate",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","407970","Wilko Bowl With Love Kitchen Range","Wilko","7.0CM","14.0CM","14.0CM","Bowls",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","407971","Wilko Cup and Saucer With Love Kitchen Range","Wilko","8.0CM","14.0CM","14.0CM","Cup and Saucer",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","407972","Wilko Mug With Love Kitchen Range","Wilko","10.0CM","7.5CM","11.5CM","Mugs",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","407973","Wilko Tray With Love Kitchen Range Large","Wilko","2.0CM","30.0CM","48.5CM","Trays",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","407974","Wilko Glass Worktop Saver With Love Kitchen Range","Wilko",".2CM","30.0CM","40.0CM","Worktop Saver",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","408216","Wilko Utility Seat Pad Grey","Wilko","6.0CM","43.0CM","43.0CM","Seat Pads","43cm x 43cm","Grey","1",NA,NA,NA,NA,NA,1
"KIT","DIN","408250","Wilko Dinner Set With Love Kitchen Range 12 Piece","Wilko","29.5CM","28.5CM","18.5CM","Dinner Sets",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","427251","Wilko Dinner Plate Ceramic Oval Cream","Wilko","2.6CM","27.0CM","30.0CM","Dinner Plate","2.6cm x 27cm","Cream","1",NA,"Dishwasher proof",NA,NA,NA,1
"KIT","DIN","427252","Wilko Side Plate Ceramic Oval Cream","Wilko","2.6CM","20.5CM","22.4CM","Side Plate","2.6cm x 20.5cm","Cream","1",NA,"Dishwasher proof",NA,NA,NA,1
"KIT","DIN","427253","Wilko Bowl Ceramic Oval Cream","Wilko","9.7CM","11.0CM","11.0CM","Bowls","9.7cm x 11cm","Cream","1",NA,NA,NA,NA,NA,1
"KIT","DIN","427254","Wilko Mug Ceramic Oval Cream","Wilko","10.0CM","9.5CM","10.0CM","Mugs","10cm x 9.5cm","Cream","1",NA,NA,NA,NA,NA,1
"KIT","DIN","427266","Wilko Dinner Plate Ceramic Square Taupe","Wilko","2.5CM","26.0CM","26.0CM","Dinner Plate","2.5cm x 26cm","Brown","1",NA,NA,NA,NA,NA,1
"KIT","DIN","427267","Wilko Side Plate Ceramic Square Taupe","Wilko","2.2CM","21.0CM","21.0CM","Side Plate","2.2cm x 21cm","Brown","1",NA,NA,NA,NA,NA,1
"KIT","DIN","427268","Wilko Bowl Ceramic Square Taupe","Wilko","6.7CM","15.0CM","15.0CM","Bowls","6.7cm x 15cm","Brown","1",NA,NA,NA,NA,NA,1
"KIT","DIN","427269","Wilko Mug Ceramic Square Taupe","Wilko","9.9CM","9.0CM","9.0CM","Mugs","9.9cm x 9cm","Brown","1",NA,NA,NA,NA,NA,1
"KIT","DIN","427720","Wilko Dinner Plate Colourplay Range Black 27cm","Wilko","27.0CM","27.0CM","3.7CM","Dinner Plate","4cm x 27cm","Black","1",NA,"Dishwasher proof",NA,NA,NA,1
"KIT","DIN","427721","Wilko Side Plate Colourplay Range Black 22cm","Wilko","22.0CM","22.0CM","3.0CM","Side Plate","3cm x 22cm","Black","1",NA,"Dishwasher proof",NA,NA,NA,1
"KIT","DIN","427722","Wilko Bowl Colourplay Range Black 13.5cm","Wilko","7.5CM","13.5CM","13.5CM","Bowls","7.5cm x 13.7cm","Black","1",NA,"Dishwasher proof",NA,NA,NA,1
"KIT","DIN","427723","Wilko Colourplay Mug Black","Wilko","10.2CM","8.7CM","8.7CM","Mugs","10.2cm x 8.7cm","Black","1",NA,NA,NA,NA,NA,1
"KIT","DIN","427872","Wilko Kettle Dome Type Open Handled Black","Wilko","24.2CM","15.4CM","22.6CM","Dome Kettles","25cm x 21cm x 20cm","Black",NA,NA,NA,"220-240V 50Hz 3000W",NA,"KE01402 - Black",1
"KIT","DIN","427928","Wilko Cannister Red Small","Wilko","14.5CM","11.8CM","11.8CM","Storage Jars",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","435822","Wilko Fruit Bowl Copper Effect","Wilko","7.5CM","22.0CM","22.0CM","Fruit Bowl","22 x 22 x 7cm","Metal","1",NA,NA,NA,NA,NA,1
"KIT","DIN","440138","Wilko Table Cloth White 180x130cm","Wilko",".2CM","130.0CM","180.0CM","Table Cloths","180x130cm","White","1",NA,NA,NA,NA,NA,1
"KIT","DIN","440303","Wilko Chinese Dinner Party Set 21pcs","Wilko","20.8CM","25.2CM","26.2CM","Dinner Sets","21 piece","White","21",NA,NA,NA,NA,NA,1
"KIT","DIN","440623","Wilko Cutlery Set Copper Effect 16pcs","Wilko","27.5CM","7.5CM","21.5CM","Cutlery Sets","16 piece","Metal","16",NA,NA,NA,NA,NA,1
"KIT","DIN","445513","Wilko Large Tray Oriental Blossom","Wilko","2.0CM","30.0CM","48.5CM","Trays",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","445514","Wilko Worktop Saver Oriental Blossom","Wilko",".2CM","30.0CM","40.0CM","Worktop Saver",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","445517","Wilko Large Tray Mediterranean Style","Wilko","2.0CM","30.0CM","48.5CM","Trays",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","445518","Wilko Worktop Saver Mediterranean Style","Wilko",".2CM","30.0CM","40.0CM","Worktop Saver",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","447403","Wilko Dinner Set Mediterranean Style 12 Piece","Wilko","29.2CM","18.0CM","29.2CM","Dinner Sets",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","447404","Wilko Dinner Plate Large Mediterranean Style 27cm","Wilko","2.5CM","26.5CM","26.5CM","Dinner Plate",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","447405","Wilko Side Plate Mediterranean Style 19cm","Wilko","2.0CM","19.0CM","19.0CM","Side Plate",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","447406","Wilko Bowl Mediterranean Style 22cm","Wilko","4.0CM","22.2CM","22.2CM","Bowls",NA,NA,NA,NA,NA,NA,NA,NA,1
