"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"KIT","PLA","317171","Wilko Square Bowl White Small","Wilko Functional",0.95
"KIT","PLA","317172","Wilko Lift Top Waste Bin White 50L","Wilko Functional",0.891666666666667
"KIT","SPC","421067","Latte Mug Gift Set of 2","Wilko",0.6
"KIT","SPC","439785","Winter Whimsy Cocoa Assorted Flavours Set of 4","Wilko",0.6
"KIT","SPC","439786","Coffee Syrup Set of 4 Assorted Flavours","Wilko",0.6
"KIT","SPC","439795","Cocktail Shaker and Mixer Set Assorted Flavours","Wilko",0.6
"KIT","SPC","439797","Lab Shot Glass and Mixers Set of 4","Wilko",0.6
"KIT","SPC","439798","Mini Mason Shot Glasses and Mixers Set of 4","Wilko",0.6
"KIT","SPC","439799","Day of the Dead Skull Filled with Hot Sauce 740ml","Wilko",0.6
"KIT","SPC","439804","Hot Sauce Assorted Flavours Set of 4","Wilko",0.6
"KIT","SPC","439806","Skull Shot Glass and Mixers Set of 4","Wilko",0.6
"KIT","SPC","439810","Margarita Cocktail Set with Extra Large Glass","Wilko",0.6
"KIT","SPC","439811","Martini/Cosmo Cocktail Set with Extra Large Glass","Wilko",0.6
"KIT","SPC","439812","Cupcake Mix in a Mug 5 Minutes","Wilko",0.6
"KIT","SPC","439818","Beer Glass 2.5 pint","Wilko",0.6
"KIT","STO","444839","Two Tier Dish Drainer Red","Benross",0.95
"KIT","STO","435942","Slimline Storage Basket With Handle","Polar Gear",0.95
"KIT","STO","435943","Storage Basket with 2 Compartment and Handle","Polar Gear",0.95
"KIT","STO","435944","Tall Storage Basket with Handle","Polar Gear",0.95
"KIT","TEX","427952","Wilko Tea Towels Natural and White 5pk","Wilko Best",0.95
