"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Washable","Size","Material","DQ Score"
"417268","Collection Naturally Matt Foundation Ivory 2","Collection 2000","Liquid Foundation",NA,NA,"1",NA,NA,NA,0.73125
"417269","Collection Naturally Matt Foundation Cool Beige 3","Collection 2000","Liquid Foundation","Brown",NA,"1",NA,NA,NA,0.775
"417270","Collection Naturally Matt Foundation Warm Beige 4","Collection 2000","Liquid Foundation",NA,NA,"1",NA,NA,NA,0.73125
"417271","Collection Naturally Matt Foundation Honey 5","Collection 2000","Liquid Foundation",NA,NA,"1",NA,NA,NA,0.73125
"417273","Collection Eyes Uncovered Eye Shadow Palettes Nude","Collection 2000","Eye Shadow","Brown",NA,"1",NA,NA,NA,0.775
"417275","Collection Eyes Uncovered Eye Palettes 6g","Collection 2000","Eye Shadow","Grey",NA,"1",NA,NA,NA,0.775
"417288","Collection 2in1 Long and Strong Treatment Clear 1","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.73125
"417289","Collection French Manicure French White 1","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.73125
"417290","Collection French Manicure French Pink 2","Collection 2000","Nail Polish","Pink",NA,"1",NA,NA,NA,0.775
"417291","Collection French Manicure French Beige 3","Collection 2000","Nail Polish",NA,NA,"1",NA,NA,NA,0.73125
"417292","Collection Nail Polish Remover","Collection 2000","Nail Polish Remover",NA,NA,"1",NA,NA,NA,0.73125
"422386","Collection Speedy Blush Sticks Tickled Pink","Collection 2000","Blusher",NA,NA,"1",NA,NA,NA,0.73125
"422387","Collection Speedy Blush Sticks Cheeky","Collection 2000","Blusher",NA,NA,"1",NA,NA,NA,0.73125
"422388","Collection Speedy Blush Sticks Pinch Me","Collection 2000","Blusher",NA,NA,NA,NA,NA,NA,0.6875
"422389","Collection Eyebrow Kit Brunette","Collection 2000","Brows",NA,NA,"1",NA,NA,NA,0.73125
"422390","Collection Gorgeous Glow Blush Block","Collection 2000","Bronzer",NA,NA,"1",NA,NA,NA,0.73125
"422391","Collection Gorgeous Glow Bronzing Block","Collection 2000","Bronzer",NA,NA,"1",NA,NA,NA,0.73125
"422400","Collection Lasting Colour Lipstick Mango Crush","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422402","Collection Lasting Colour Lipstick Pink Fusion","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422403","Collection Lasting Colour Lipstick Cupcake Pink","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422404","Collection Lasting Colour Lipstick Delicious Candy","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422405","Collection Lasting Colour Lipstick Mulberry Burst","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422406","Collection Lasting Colour Lipstick China Rose","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422407","Collection Lasting Colour Lipstick Fig Delight","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422408","Collection Lasting Colour Lipstick Amethyst Shine","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422409","Collection Lasting Colour Lipstick Poppy Glam","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422410","Collection Lasting Colour Lipstick Aubergine Kiss","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422411","Collection Lasting Colour Lipstick Blackberry Fool","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422412","Collection Lasting Colour Matt LipstickTaffeta Bloom","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422415","Collection Lasting Colour Matt Lipstick Pink Diva","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422416","Collection Lasting Colour Matt Lipstick Red Carpet","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422417","Collection Lasting Colour Matt Lipstick PlumSensation","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"422419","Collection Lasting Colour Lipstick Café au lait","Collection 2000","Lipstick",NA,NA,"1",NA,NA,NA,0.73125
"425912","Collection Speedy Highlighter Pearl Sheen","Collection 2000","Highlighter",NA,NA,"3",NA,"8.6cm",NA,0.775
"425917","Collection Illuminating Touch FoundationWarm Beige","Collection 2000","Liquid Foundation",NA,NA,"1",NA,"12.2cm",NA,0.775
"425918","Collection Illuminating Touch Foundation Honey","Collection 2000","Liquid Foundation",NA,NA,"1",NA,"12.2cm",NA,0.775
"425919","Collection Illuminating Touch Foundation Golden","Collection 2000","Liquid Foundation",NA,NA,"1",NA,NA,NA,0.73125
"440539","Collection Contour Stick Dark","Collection 2000","Contouring",NA,NA,"1",NA,"3G",NA,0.775
"443824","Collection Primed & Ready Concealer Kit","Collection 2000","Concealer",NA,NA,"1",NA,"14G",NA,0.775
"443825","Collection Invisible Setting Powder poweredby Witch","Collection 2000","Priming and Setting",NA,NA,"1",NA,"15G",NA,0.775
"443826","Collection Illuminating Setting Powder","Collection 2000","Priming and Setting",NA,NA,"1",NA,"15G",NA,0.775
"443827","Collection Velvet Kiss Lip Cream Cotton Candy","Collection 2000","Lip Gloss",NA,NA,"1",NA,"5ml",NA,0.775
"443829","Collection Velvet Kiss Lip Cream Rosie","Collection 2000","Lip Gloss",NA,NA,"1",NA,"5ml",NA,0.775
"443833","Collection Extreme Calligraphy Eyeliner Black","Collection 2000","Eye Liner",NA,NA,"1",NA,"1.6ml",NA,0.775
