"PSA_1","PSA_2","Article","Web Description","Brand","Capacity","Type","Colour","Size","Assembly","Coverage","Pack Qty","Material","Power","Model Number","DQ Score"
"GAR","SUN","338561","Decking Weed Brush Heavy Duty Wood","Charles Bentley",NA,"Brushes",NA,NA,NA,NA,NA,NA,NA,NA,0.716666666666667
"GAR","SUN","436459","Forest Garden Lap Fence Panel 6ft x 3ft Pk of 10","Forest Garden",NA,"Lap Panels",NA,"4.8cm x 91.7cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"GAR","SUN","436461","Forest Garden Lap Fence Panel 6ft x 3ft Pk of 7","Forest Garden",NA,"Lap Panels",NA,"4.8cm x 91.7cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"GAR","SUN","436464","Forest Garden Lap Fence Panel 6ft x 4ft Pk of 7","Forest Garden",NA,"Lap Panels",NA,"4.8cm x 122.2cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"GAR","SUN","436467","Forest Garden Lap Fence Panel 6ft x 5ft Pk of 10","Forest Garden",NA,"Lap Panels",NA,"4.8cm x 152.7cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"GAR","SUN","436469","Forest Garden Lap Fence Panel 6ft x 5ft Pk of 7","Forest Garden",NA,"Lap Panels",NA,"4.8cm x 152.7cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"GAR","SUN","436472","Forest Garden Close Board Fence Panel 3ft Pk of 10","Forest Garden",NA,"Close Board Panels",NA,"4.8cm x 182.8cm x 91.7cm",NA,NA,NA,NA,NA,NA,0.9125
"GAR","SUN","436473","Forest Garden Close Board Fence Panel 3ft Pk of 7","Forest Garden",NA,"Close Board Panels",NA,"4.8cm x 182.8cm x 91.7cm",NA,NA,NA,NA,NA,NA,0.9125
"GAR","SUN","436476","Forest Garden Close Board Fence Panel 4ft Pk of 10","Forest Garden",NA,"Close Board Panels",NA,"4.8cm x 182.8cm x 91.7cm",NA,NA,NA,NA,NA,NA,0.9125
"GAR","SUN","436477","Forest Garden Close Board Fence Panel 4ft Pk of 7","Forest Garden",NA,"Close Board Panels",NA,"4.8cm x 182.8cm x 91.7cm",NA,NA,NA,NA,NA,NA,0.9125
"GAR","SUN","436480","Forest Green Close Board Fence Panel 5ft Pack of10","Forest Garden",NA,"Close Board Panels",NA,"4.8cm x 182.8cm x 91.7cm",NA,NA,NA,NA,NA,NA,0.8625
"GAR","SUN","436481","Forest Garden Close Board Fence Panel 6ft Pk of 7","Forest Garden",NA,"Close Board Panels",NA,"4.8cm x 182.8cm x 91.7cm",NA,NA,NA,NA,NA,NA,0.9125
"GAR","SUN","436490","Forest Garden Wooden Cambridge Planter 1.5m x 50cm","Forest Garden",NA,"Planters",NA,"8.9cm x 9.8cm x 1.5cm","No",NA,NA,NA,NA,NA,0.93
"GAR","SUN","436492","Forest Garden Caledonian Corner Planter 1.3m","Forest Garden",NA,"Raised Beds",NA,"19.3cm x 0.3cm x 1.3cm","Yes",NA,NA,NA,NA,NA,0.93
"GAR","SUN","436493","Forest Garden Caledonian Tiered Raised Bed","Forest Garden",NA,"Raised Beds",NA,"0.9cm x 0.9cm x 0.6cm","Yes",NA,NA,NA,NA,NA,0.93
"GAR","SUN","436494","Forest Garden Deep Root Planter 1.8m","Forest Garden",NA,"Planters",NA,"0.2cm x 79.8cm x 1.8cm","Yes",NA,NA,NA,NA,NA,0.93
"GAR","SUN","436505","Forest Garden Raised Log Garden Planter","Forest Garden",NA,"Raised Beds",NA,"6.7cm x 0.1cm x 0.4cm","Yes",NA,NA,NA,NA,NA,0.93
"GAR","SUN","436506","Forest Garden Rectangular Sleeper Raised Bed","Forest Garden",NA,"Raised Beds",NA,"0.3cm x 0.4cm x 1.2cm","Yes",NA,NA,NA,NA,NA,0.93
"GAR","SUN","436514","Forest Garden Bi-Fold Roof Bin Store","Forest Garden",NA,"Bin Storage",NA,"92cm x 146cm x 121.5cm","Yes",NA,NA,"Softwood",NA,NA,0.941666666666667
"GAR","SUN","436517","Forest Garden Pinnacle Log Store","Forest Garden",NA,"Log Storage",NA,"64.8cm x 149.4cm x 149.4cm","Yes",NA,NA,"Softwood",NA,NA,0.941666666666667
"GAR","SUN","436523","Forest Garden Lap Fence Panel 6ft x 4ft Pk of 10","Forest Garden",NA,"Lap Panels",NA,"4.8cm x 122.2cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"GAR","SUN","436525","Forest Garden Lap Fence Panel 6ft x 6ft Pk of 7","Forest Garden",NA,"Lap Panels",NA,"4.4cm x 182.8cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"GAR","SUN","436528","Forest Garden Lap Fence Panel 6ft x 6ft Pk of 10","Forest Garden",NA,"Close Board Panels",NA,"4.4cm x 182.8cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"GAR","SUN","436530","Forest Garden Close Board Fence Panel 6ft Pk of 7","Forest Garden",NA,"Close Board Panels",NA,"5cm x 182.8cm x 182.8cm",NA,NA,NA,NA,NA,NA,0.9125
"GAR","SUN","436550","Forest Garden Overlap Garden Wall Store","Forest Garden",NA,"Tool Storage",NA,"149.4cm x 111.8cm x 64.9cm","Yes",NA,NA,"Softwood",NA,NA,0.941666666666667
"GAR","SUN","436551","Forest Garden Storage Garden Chest","Forest Garden",NA,"Tool Storage",NA,"93.9cm x 126cm x 93.9cm","Yes",NA,NA,"Softwood",NA,NA,0.941666666666667
"GAR","SUN","436552","Forest Garden Overlap Garden Tool Chest","Forest Garden",NA,"Tool Storage",NA,"93.4cm x 126cm x 85.8cm","Yes",NA,NA,"Softwood",NA,NA,0.941666666666667
"GAR","SUN","436554","Forest Garden Pressure Treated Maxi Garden WallStore","Forest Garden",NA,"Tool Storage",NA,"184cm x 15.4cm x 8.5cm","Yes",NA,NA,"Softwood",NA,NA,0.941666666666667
"GAR","SUN","436556","Forest Garden Tall Garden Store","Forest Garden",NA,"Tool Storage",NA,"20.4cm x 9.3cm x 5.8cm","Yes",NA,NA,"Softwood",NA,NA,0.941666666666667
"GAR","SUN","436783","Forest Garden Overlap Garden Shed 4 x 3","Forest Garden",NA,"Wooden Sheds",NA,"4 x 3","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436784","Forest Garden Overlap Apex Garden Shed 5 x 3","Forest Garden",NA,"Wooden Sheds",NA,"5 x 3","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436785","Forest Garden Overlap Apex Garden Shed 3 x 5","Forest Garden",NA,"Wooden Sheds",NA,"3 x 5","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436786","Forest Garden Overlap Apex Garden Shed 6 x 4","Forest Garden",NA,"Wooden Sheds",NA,"6 x 4","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436787","Forest Garden Overlap Windowless Garden Shed 6 x 4","Forest Garden",NA,"Wooden Sheds",NA,"6 x 4","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436788","Forest Garden Reverse Overlap Garden Shed 6 x 4","Forest Garden",NA,"Wooden Sheds",NA,"6 x 4","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436789","Forest Garden Essential Overlap Garden Shed 5 x 7","Forest Garden",NA,"Wooden Sheds",NA,"5 x 7","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436790","Forest Garden Overlap Pent Garden Shed 7 x 5","Forest Garden",NA,"Wooden Sheds",NA,"7 x 5","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436791","Forest Garden Essential Overlap Garden 6 x 8","Forest Garden",NA,"Wooden Sheds",NA,"6 x 8","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436792","Forest Garden Essential Overlap Garden Shed 6 x 8","Forest Garden",NA,"Wooden Sheds",NA,"6 x 8","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436793","Forest Garden Overlap Pent Garden Shed 8 x 6","Forest Garden",NA,"Wooden Sheds",NA,"8 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436794","Forest Garden Double Door Overlap Garden Shed8 x 6","Forest Garden",NA,"Wooden Sheds",NA,"8 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436795","Forest Garden Reverse Apex Garden Shed 8 x 6","Forest Garden",NA,"Wooden Sheds",NA,"8 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436796","Forest Garden Overlap Pent Garden Shed 10 x 6","Forest Garden",NA,"Wooden Sheds",NA,"10 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436797","Forest Garden Double Door Overlap Garden Shed10 x 6","Forest Garden",NA,"Wooden Sheds",NA,"10 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436798","Forest Garden Overlap Apex Garden Workshop 10 x 8","Forest Garden",NA,"Wooden Sheds",NA,"10 x 8","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436799","Forest Garden Overlap Apex Garden Workshop 12 x 8","Forest Garden",NA,"Wooden Sheds",NA,"12 x 8","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436800","Forest Garden Overlap Pent Garden Wall Shed","Forest Garden",NA,"Wooden Sheds",NA,"203.3cm x 106.7cm x 180.8cm","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436801","Forest Garden Overlap Apex Garden Shed 6 x 4","Forest Garden",NA,"Wooden Sheds",NA,"6 x 4","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436802","Forest Garden Overlap Garden Shed with Lean To6 x 4","Forest Garden",NA,"Wooden Sheds",NA,"6 x 4","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436803","Forest Garden Overlap Pent Garden Shed 7 x 5","Forest Garden",NA,"Wooden Sheds",NA,"7 x 5","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436804","Forest Garden Double Door Apex Garden Shed 7 x 5","Forest Garden",NA,"Wooden Sheds",NA,"7 x 5","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436805","Forest Garden Double Door Overlap Apex GardenShed 7 x 7","Forest Garden",NA,"Wooden Sheds",NA,"7 x 7","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436806","Forest Garden Overlap Apex Garden Shed 8 x 6","Forest Garden",NA,"Wooden Sheds",NA,"8 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436807","Forest Garden Overlap Apex Windowless Garden Shed8 x 6","Forest Garden",NA,"Wooden Sheds",NA,"8 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436808","Forest Garden Onduline Overlap Garden Apex Shed6 x 8","Forest Garden",NA,"Wooden Sheds",NA,"6 x 8","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436809","Forest Garden Overlap Garden Workshop 10 x 8","Forest Garden",NA,"Wooden Sheds",NA,"10 x 8","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436810","Forest Garden Overlap Garden Workshop 12 x 8","Forest Garden",NA,"Wooden Sheds",NA,"12 x 8","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436811","Forest Garden Shiplap Apex Garden Shed 4 x 6","Forest Garden",NA,"Wooden Sheds",NA,"4 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436812","Forest Garden Shiplap Pent Garden Shed 7 x 5","Forest Garden",NA,"Wooden Sheds",NA,"7 x 5","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436813","Forest Garden Shiplap Apex Garden Shed 8 x 6","Forest Garden",NA,"Wooden Sheds",NA,"8 x 6","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436816","Forest Garden Shedbase 6x4","Forest Garden",NA,"6ft x 4ft",NA,"38cm x 179cm x 38cm","Yes",NA,NA,NA,NA,NA,0.93
"GAR","SUN","436817","Forest Garden Shedbase 7x5","Forest Garden",NA,"7ft x 5ft",NA,"38cm x 203.8cm x 38cm","Yes",NA,NA,NA,NA,NA,0.93
"GAR","SUN","436818","Forest Garden Shedbase 7x7","Forest Garden",NA,"7ft x 7ft",NA,"38cm x 203.8cm x 202.9cm","Yes",NA,NA,NA,NA,NA,0.93
"GAR","SUN","436819","Forest Garden Shedbase 8x6","Forest Garden",NA,"8ft x 6ft",NA,"38cm x 225cm x 38cm","Yes",NA,NA,NA,NA,NA,0.93
"GAR","SUN","436820","Forest Garden Maxi Wall Store","Forest Garden",NA,"Tool Storage",NA,"154.1cm x 84cmm x 183.6cm","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436821","Forest Garden Overlap Garden Bike Store 2m","Forest Garden",NA,"Bike Storage",NA,"161.3cm x 212.5cm x 161.3cm","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436822","Forest Garden Overlap Garden Mower Store","Forest Garden",NA,"Tool Storage",NA,"146.6cm x 143.1cm x 146.6cm","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","436823","Forest Garden Overlap Pent Tool Store","Forest Garden",NA,"Tool Storage",NA,"184.6cm x 111.8cm x 184.6cm","Yes",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","407861","Solar Gutter Lights Black Set of 2","Gablemere",NA,"Gutter Lights","Black","18 x 13 x 13",NA,NA,"2",NA,NA,NA,0.891666666666667
"GAR","SUN","435318","Kelkay Cotswold Stone Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"GAR","SUN","435319","Kelkay Blue Slate Chippings Bulk Bag 40mm","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"GAR","SUN","435320","Kelkay Plum Slate Chippings 40m Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"GAR","SUN","435321","Kelkay Tweed Pebble 20mm Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"GAR","SUN","435325","Kelkay Blue Slate Chippings Bulk Bag 20mm","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"GAR","SUN","435326","Kelkay Crimson & Cream Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"GAR","SUN","435328","Kelkay Cheshire Pink Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"GAR","SUN","435329","Kelkay Red Stone Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"GAR","SUN","435330","Kelkay Yorkshire Cream Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"GAR","SUN","435332","Kelkay Shadow Mist Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"GAR","SUN","435334","Kelkay Autumn Gold Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"GAR","SUN","435337","Kelkay Green Slate Chippings Bulk Bag","Kelkay",NA,"Chippings & Gravel",NA,"Bulk Bag 750kg approx",NA,NA,"1",NA,NA,NA,0.93
"GAR","SUN","435709","Palram Skylight Shed Anthracite 6 x 3","Palram",NA,"Polycarbonate Sheds",NA,"6 x 3","Yes",NA,NA,NA,NA,NA,0.93
"GAR","SUN","435710","Palram Skylight Shed Anthracite 4 x 6","Palram",NA,"Polycarbonate Sheds",NA,"4 x 6","Yes",NA,NA,NA,NA,NA,0.93
"GAR","SUN","435711","Palram Skylight Shed Anthracite 6 x 5","Palram",NA,"Polycarbonate Sheds",NA,"6 x 5","Yes",NA,NA,NA,NA,NA,0.93
"GAR","SUN","435712","Palram Skylight Shed Anthracite 6 x 8","Palram",NA,"Polycarbonate Sheds",NA,"6 x 8","Yes",NA,NA,NA,NA,NA,0.93
"GAR","SUN","435713","Palram Skylight Shed Anthracite 6 x 10","Palram",NA,"Polycarbonate Sheds",NA,"6 x 10","Yes",NA,NA,NA,NA,NA,0.93
"GAR","SUN","437723","Rowlinson Greenvale Metal Apex Garden Shed 6 x 5","Rowlinson",NA,"Metal Sheds",NA,"6 x 5","Yes",NA,NA,"Metal",NA,NA,0.941666666666667
"GAR","SUN","437724","Rowlinson Greenvale Metal Apex Garden Shed 8 x 6","Rowlinson",NA,"Metal Sheds",NA,"8 x 6","Yes",NA,NA,"Metal",NA,NA,0.941666666666667
"GAR","SUN","437725","Rowlinson Greenvale Metal Apex Garden Shed 10 x 8","Rowlinson",NA,"Metal Sheds",NA,"10 x 8","Yes",NA,NA,"Metal",NA,NA,0.941666666666667
"GAR","SUN","437727","Rowlinson Greenvale Metal Pent Garden Shed 8 x 4","Rowlinson",NA,"Metal Sheds",NA,"8 x 4","Yes",NA,NA,"Metal",NA,NA,0.941666666666667
"GAR","SUN","160446","Wilko Get Gardening Multi Purpose Poly Sheet Clear6mx2m","Wilko",NA,"Bags, Truggs and Wheelbarrows",NA,"2x6m","No",NA,NA,NA,NA,NA,0.883333333333333
"GAR","SUN","299033","Wilko Get Gardening Protection Fleece 1.5mx8m","Wilko",NA,"Frost Protection",NA,"1.5x8m",NA,NA,"1",NA,NA,NA,0.883333333333333
"GAR","SUN","337291","Wilko Get Gardening Leaf Grabber Green","Wilko",NA,"Bags, Truggs and Wheelbarrows",NA,NA,NA,NA,NA,NA,NA,NA,0.825
"GAR","SUN","340471","Wilko Get Gardening Tape All Weather Clear 5cmx15m","Wilko",NA,"All Weather Tape",NA,NA,"No",NA,NA,NA,NA,NA,0.86
"GAR","SUN","346574","Wilko Tie Top Garden Sacks 8pk","Wilko",NA,"Bags, Truggs and Wheelbarrows",NA,NA,"No",NA,NA,NA,NA,NA,0.825
"GAR","SUN","346577","Wilko Get Gardening Garden Sacks Tie Top Black x 6","Wilko",NA,"Bags, Truggs and Wheelbarrows",NA,NA,"No",NA,NA,NA,NA,NA,0.825
"GAR","SUN","406176","Wilko Composter 220L","Wilko","220ltr","Composters",NA,"220L","No",NA,NA,NA,NA,NA,0.941666666666667
"GAR","SUN","424898","Wilko Standard Rigger Glove","Wilko",NA,"Gloves and Wellingtons",NA,NA,NA,NA,"1 Pair",NA,NA,NA,0.86
"GAR","SUN","445708","Wilko Plant Pot Mover","Wilko",NA,"Plant Pot Mover",NA,"W 8 x L 126cm","No",NA,NA,NA,NA,NA,0.93
"GAR","SUN","457147","Wilko Garden Clock Wood Effect","Wilko",NA,"Clocks",NA,"Length 4cm, Width 25cm, Height 25cm",NA,NA,"1",NA,NA,NA,0.93
"GAR","SUN","99363","Wilko Garden Nuts and Bolts","Wilko",NA,"Greenhouse Fixings",NA,NA,"No",NA,NA,NA,NA,NA,0.86
"GAR","SUN","99364","Wilko Garden W Glazing Clips","Wilko",NA,"Greenhouse Fixings",NA,NA,"No",NA,NA,NA,NA,NA,0.86
"GAR","SUN","99365","Wilko Garden Z Glazing Clips","Wilko",NA,"Greenhouse Fixings",NA,NA,"No",NA,NA,NA,NA,NA,0.86
