"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Capacity","Coverage","DQ Score"
"GAR","TRA","pr00005","Palram Polycarbonate Greenhouse Aluminium 6x10","Palram","209.0CM","185.0CM","310.0CM","Greenhouses","6ft x 10ft",NA,NA,"Aluminium frame, Polycarbonate panels","Yes",NA,NA,1
"GAR","TRA","pr00008","Palram Polycarbonate Greenhouse Silver Effect 6x6","Palram","209.0CM","185.0CM","184.0CM","Greenhouses","6ft x 6ft",NA,NA,"Aluminium frame, Polycarbonate panels","Yes",NA,NA,1
"GAR","TRA","pr00009","Palram Polycarbonate Greenhouse Silver Effect 6x8","Palram","209.0CM","185.0CM","248.0CM","Greenhouses","6ft x 8ft",NA,NA,"Aluminium frame, Polycarbonate panels","Yes",NA,NA,1
"GAR","TRA","436274","Rowlinson Single Hardwood Coldframe","Rowlinson","80.0CM","60.0CM","61.0CM","Cold Frames","61cm",NA,NA,"Wood Timber","No",NA,NA,1
"GAR","TUB","338656","Wilko Planter Round Milano Black 50cm","Wilko","36.5CM","50.0CM","50.0CM","Planters","50cm","Black",NA,NA,"No",NA,NA,1
"GAR","TUB","445493","Wilko Pipe Pot Holder Aubergine","Wilko","2.5CM","19.0CM","30.7CM","Drainpipe Pot Holder","30.5 x 19 x 10.3cm","Purple",NA,NA,"No",NA,NA,1
"GAR","WAT","199744","Kingfisher Gardening Micro Irrigation Kit","Kingfisher","21.5CM","21.0CM","6.2CM","Irrigation System","20m",NA,NA,NA,NA,NA,NA,1
"GAR","WAT","304228","Wilko Garden Hose Heavy Duty 15m","Wilko","1.3CM","1500.0CM","1.3CM","Hosepipes","15m",NA,NA,NA,NA,NA,NA,1
"GAR","WAT","310567","Wilko Sprayer Trigger Teal/Green 550ml","Wilko","23.0CM","9.0CM","11.0CM","Spray Guns","550ml",NA,NA,NA,NA,NA,NA,1
"GAR","WAT","447642","Wilko Hose Carrier","Wilko","2.6CM","20.4CM","40.4CM","Hosepipe Carrier","40.5 x 20 x 2.5cm",NA,NA,NA,NA,NA,NA,1
"GAR","WAT","7193240","Wilko Functional Trigger Sprayer 960ml","Wilko","27.0CM","12.2CM","9.5CM","Spray Guns","960ml",NA,NA,NA,NA,NA,NA,1
"GAR","WAT","313396","Wilko Functional Garden Watering Can Green 6L","Wilko Functional","34.0CM","50.0CM","12.5CM","Watering Cans","6L","Green",NA,NA,NA,"6L",NA,1
"GAR","WEE","343625","Hero Paving  Decking Power Cleaner 2.5L","Hero","26.5CM","15.7CM","9.5CM","Path and Patio Cleaners","2.5L",NA,"1",NA,NA,NA,NA,1
"GAR","WEE","346073","Resolva 24H Ready To Use 3L","Resolva","27.0CM","11.0CM","23.0CM","Tough Weedkillers","3L",NA,"1",NA,NA,NA,NA,1
"GAR","WEE","448616","Rootblast Weedkiller 1L","Rootblast","28.0CM","13.5CM","6.8CM","Rootkill Weedkillers","1L",NA,"1",NA,NA,NA,NA,1
"GAR","WEE","260563","The Big Cheese Mouse and Rat Repeller 3pk","The Big Cheese","27.0CM","13.8CM","7.8CM","Rodenticides","One Size",NA,"3pk",NA,NA,NA,NA,1
"GAR","WEE","330958","The Big Cheese Rat and Mouse Killer Bait Packs 5pk","The Big Cheese","17.5CM","12.0CM","7.5CM","Rodenticides","200g",NA,"5",NA,NA,NA,NA,1
"GAR","WEE","194355","Wilko Path-Patio Cleaner 5L","Wilko","28.0CM","18.8CM","13.2CM","Path and Patio Cleaners","5L",NA,"1",NA,NA,NA,NA,1
"GAR","WEE","330914","Wilko Mouse and Rat Killer Sachets 25 x 15g","Wilko","25.0CM","14.0CM","6.0CM","Rodenticides","375g",NA,"25",NA,NA,NA,NA,1
"GAR","WEE","428448","Wilko Green Gone Super Concentrate 3L","Wilko","23.2CM","19.0CM","13.0CM","Path and Patio Weedkillers","3L",NA,"1",NA,NA,NA,NA,1
"GAR","WOO","338572","Cuprinol Less Mess Shed Fence Autumn Red 5L","Cuprinol","23.8CM","18.5CM","18.7CM","Shed and Fence Paint","5L","Red","1",NA,NA,NA,"30sq m",1
"GAR","WOO","125818","Wilko Timbercare Woodland Green 5L","Wilko","20.8CM","23.8CM","23.0CM","Shed and Fence Paint","5L","Green","1",NA,NA,NA,"20m²",1
"GAR","WOO","278710","Wilko Light Creocote 4L","Wilko","23.5CM","18.0CM","13.0CM","Creocote","4L","Clear","1",NA,NA,NA,"8m²",1
"GAR","WOO","74038","Wilko Timbercare Country Brown 5L","Wilko","20.8CM","23.8CM","23.0CM","Shed and Fence Paint","5L","Brown","1",NA,NA,NA,"20m²",1
"GAR","WOO","74039","Wilko Timbercare Red Cedar 5L","Wilko","20.8CM","23.8CM","23.0CM","Shed and Fence Paint","5L","Red","1",NA,NA,NA,"20m²",1
"GAR","WOO","74040","Wilko Timbercare Dark Oak 5L","Wilko","20.8CM","23.8CM","23.0CM","Shed and Fence Paint","5L","Brown","1",NA,NA,NA,"20m²",1
