"Article","Web Description","Brand","Type","Size","DQ Score"
"417019","Pentel R50 Rollerball Pens Black 2pk","Pentel","Rollerball Pens","Each Pen H13.9cm x W1.2cm x L1.6cm",1
"417022","Pentel Slicci 0.8 Blue","Pentel","Gel Pens","Each Pen H13.6cm x W 1.4cm x L 1.0cm",1
"417023","Pentel Slicci 0.8 Green","Pentel","Gel Pens","Each Pen H13.6cm x W 1.4cm x L 1.0cm",1
"417025","Pentel Slicci 0.8 Pink","Pentel","Gel Pens","Each Pen H13.6cm x W 1.4cm x L 1.0cm",1
"417027","Pentel White Marker","Pentel","Marker Pens","Each Pen H9.0cm x W2.5cm x L2.5cm",1
"417028","Pentel Twin Tipped Permanent Marker 2pk","Pentel","Marker Pens","Each Marker 13.8cm x 1.3cm x 1.8cm",1
"417031","Pentel Slicci 0.8 Silver","Pentel","Gel Pens","Each Pen H13.6cm x W 1.4cm x L 1.0cm",1
"417032","Pentel Slicci 0.8 Gold","Pentel","Gel Pens","Each Pen H13.6cm x W 1.4cm x L 1.0cm",1
"317952","Sharpie Permanent Markers Fine Point Assorted Colours 4pk","Sharpie","Marker Pens","ULa Fine Point",1
"432399","Sharpie Electro Pop Permanent Markers 5pk","Sharpie","Marker Pens","H 13.7cm, W 1.4cm",1
"254554","STABILO point 88 Fineliners 10pk","Stabilo","Fineliners","0.4mm",1
"317966","STABILO Flash Highlighters 4pk","Stabilo","Highlighters","Assorted",1
"414620","Staedtler Textsurfer Highlighters 4pk","Staedtler","Highlighters","Highlighter pen 121x24x17mm",1
"432235","Staedtler Whiteboard Pen Lumocolour Box 4pk","Staedtler","Marker Pens","Whiteboard pen 141x9x9mm",1
"433076","Staedtler Tradition Sketching Pencils Assorted Grades 12pk","Staedtler","Pencils","Pencil 176x7x7mm",1
"217306","uni-ball Signo Gel Grip Black Rollerball Pens2pk","Uni-ball","Rollerball Pens","Medium",1
"217308","Uni-Ball Rollerball Fine Pen Black 2pk","Uni-ball","Rollerball Pens","Medium",1
"217314","uni-ball Vision Elite Rollerball Pens Black 3pk","Uni-ball","Rollerball Pens","Medium",1
"303295","uni-ball Signo Gelstick - Black Rollerball Pen","Uni-ball","Rollerball Pens","0.7mm",1
"303296","uni-ball Signo Gelstick - Blue Rollerball Pen","Uni-ball","Rollerball Pens","0.7mm",1
"303298","uni-ball Signo Gelstick - Green Rollerball Pen","Uni-ball","Gel Pens","0.7mm",1
"303302","uni-ball Signo Gelstick - Floursecent PinkRollerball Pen","Uni-ball","Gel Pens","0.7mm",1
"317990","uni-ball Eye Micro Rollerball Pens Black 2pk","Uni-ball","Rollerball Pens","Assorted",1
"432414","Uni-Ball Air Rollerball Black 2pk","Uni-ball","Rollerball Pens","Diameter - 16.3mm, Length -140.2mm",1
"432416","Uni-Ball Chalk Markers Assorted Colours 4pk","Uni-ball","Marker Pens","Diameter - 19.09mm, Length - 142.05mm",1
"432420","Uni-Ball Jetstream Sport Pen Black","Uni-ball","Rollerball Pens","Diameter - 14mm, Length - 140mm",1
"432421","Uni-Ball Jetstream Sport Pen Blue","Uni-ball","Rollerball Pens","Diameter - 14mm, Length - 140mm",1
"432424","Uni-Ball Jetstream Sport Pen Lime Green","Uni-ball","Rollerball Pens","Diameter - 14mm, Length - 140mm",1
"432426","Uni-Ball Jetstream Sport Pen Baby Pink","Uni-ball","Rollerball Pens","Diameter - 14mm, Length - 140mm",1
"434305","Uni-Ball Signo Broad Rollerball Metallic Silver","Uni-ball","Rollerball Pens","Diameter - 17mm, Length - 138mm",1
"434307","Uni-Ball Signo Broad Rollerball Metallic Blue","Uni-ball","Rollerball Pens","Diameter - 17mm, Length - 138mm",1
"434310","Uni-Ball Signo Broad Gel Ink Rollerball Pen","Uni-ball","Rollerball Pens","Diameter - 17mm, Length - 138mm",1
"260410","Wilko Retractable Ball Pens Black 5pk","Wilko","Ballpoint Pens","Fine",1
"260411","Wilko Retractable Ball Pens Blue 5pk","Wilko","Ballpoint Pens","Fine",1
"260412","Wilko Retractable Ball Pens Assorted Colours 5pk","Wilko","Ballpoint Pens","Fine",1
"260515","Wilko Gel Pens Assorted Colours 5pk","Wilko","Gel Pens","Fine",1
"260516","Wilko Metallic Gel Pens Gold/Silver 2pk","Wilko","Gel Pens","Fine",1
"260521","Wilko Pen Gel Fine Blue 5pk","Wilko","Gel Pens","Fine",1
"260522","Wilko Gel Pen Assorted Colours 5pk","Wilko","Gel Pens","Fine",1
"452668","Wilko Roll Away Felt Tip Case 30pcs","Wilko","Colouring Pens, Pencils and Crayons","15cm high each",1
"452669","Wilko Roll Away Pencil Case 30pcs","Wilko","Colouring Pens, Pencils and Crayons","15cm high each",1
"452670","Wilko Giant Multicolour Crayon","Wilko","Colouring Pens, Pencils and Crayons","21cm high",1
"452671","Wilko Chunky Multicolour Crayons 5pk","Wilko","Colouring Pens, Pencils and Crayons","8cm high each",1
"303156","Zebra Z-Grip Classic Ballpoint Pen Medium Black 5pk","Zebra","Ballpoint Pens","Medium",1
