"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"421034","Wilko Bendable Animal Pen","Wilko","Ballpoint Pens",NA,"1","17 x 2 x 2cm",0.93
"430691","Wilko I Like Cats Stationery Set","Wilko","Stationery Sets",NA,"1",NA,0.86
"430714","Wilko I Like Cats Mini Gel Ink Pen 5pk","Wilko","Gel Pens",NA,"5",NA,0.86
"433040","Wilko Let's Create Fine Brush Tip Markers 14pk","Wilko","Colouring Pens, Pencils and Crayons","Multi","14",NA,0.93
"433044","Wilko 4 Tier Fold Out Colouring Box","Wilko","Painting and Colouring Kits","Multi","1",NA,0.93
"433045","Wilko Wax Crayons 100pk","Wilko","Colouring Pens, Pencils and Crayons","Multi","100",NA,0.93
"433046","Wilko Felt Tips 100pk","Wilko","Colouring Pens, Pencils and Crayons","Multi","100",NA,0.93
"433047","Wilko Colouring Pencils 100pk","Wilko","Colouring Pens, Pencils and Crayons","Multi","100",NA,0.93
"433427","Wilko Functional Fibre Tip Pens 10pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"10",NA,0.86
"433428","Wilko Fibre Tip Pens 50pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"50",NA,0.86
"433429","Wilko Fibre Tip Pens 15pk","Wilko","Colouring Pens, Pencils and Crayons",NA,"15",NA,0.86
"433909","Wilko Whiteboard Neon Markers 4pk","Wilko","Marker Pens","Multi","4",NA,0.93
"433910","Wilko Highlighters 3pk","Wilko","Highlighters","Multi","1",NA,0.93
"433911","Wilko Handwriting Pen 4pk","Wilko","Rollerball Pens","Blue","4",NA,0.93
"433913","Wilko Inspirational Quote Pencils 6pk","Wilko","Pencils","Multi","6",NA,0.93
"433932","Wilko Gel Pens 30pk","Wilko","Gel Pens","Multi","30",NA,0.93
"260311","Wilko Wooden Pencils 10pk","Wilko Functional","Pencils",NA,"10pk",NA,0.81
"260399","Wilko Bingo Marker Red","Wilko Functional","Highlighters",NA,"1",NA,0.81
"260402","Wilko Bingo Marker Black","Wilko Functional","Highlighters","Black","1",NA,0.88
"260723","Wilko Ball Point Pen Assorted Colours 10pk","Wilko Functional","Ballpoint Pens",NA,"10pk",NA,0.81
"318038","Zebra Z-Grip Mini Retractable Ball Point PensMedium Black 6pk","Zebra","Ballpoint Pens","Black","6pk",NA,0.93
"349352","Zebra Pens Z Grip Assorted 5pk","Zebra","Ballpoint Pens",NA,"5pk",NA,0.86
"417036","Z-Grip Black 10pk","Zebra","Ballpoint Pens",NA,NA,NA,0.74
"417040","Zebra Sarasa Metallic Gel Pen Assorted Colours2pk","Zebra","Gel Pens",NA,"2","2395",0.93
"417042","Zebra Selection Pack 6pk","Zebra","Stationery Sets",NA,NA,NA,0.79
"432272","Zebra Funly Ballpoint Pens 4pk","Zebra","Ballpoint Pens","Multi","3",NA,0.93
"432282","Zebra Z-Grip Ballpoint Pen Assorted Colours 3pk","Zebra","Ballpoint Pens","Black","3",NA,0.88
"432293","Zebra Z-Grip Flight Pen Black","Zebra","Ballpoint Pens",NA,"1",NA,0.86
"432296","Z-Grip Smooth Black","Zebra","Ballpoint Pens",NA,"1",NA,0.81
"432298","Zebra Z-Grip Smooth Pen Green","Zebra","Ballpoint Pens","Green","1",NA,0.93
"432302","Zebra Z-Grip Zebra Print Pen Black","Zebra","Ballpoint Pens","Black","1",NA,0.93
"432305","Zebra Z-Grip Funky Brights","Zebra","Ballpoint Pens","Pink","1",NA,0.93
