"Article","Web Description","Brand","Type","Power","Pack Qty","Size","DQ Score"
"444106","Wilko Hand Tulip Shovel Carbon Steel","Wilko","Digging and Planting",NA,NA,NA,1
"444108","Wilko Hand Fork Carbon Steel","Wilko","Hand Tools",NA,NA,NA,1
"444130","Wilko Forged Contractor Fork","Wilko","Digging and Planting",NA,NA,NA,1
"447467","Wilko Garden Tool Handle","Wilko","Planting Accessories",NA,NA,NA,1
"343529","Wilko Best Screwdriver Pozi  1 x 100mm","Wilko Best","Screwdrivers",NA,"1","1X100mm",1
"344245","Wilko Best Hand Saw Aluminium Handle  550mm","Wilko Best","Saws and Blades",NA,"1","550mm",1
"209131","Wilko Functional Metric Allen Key 8piece","Wilko Functional","Allen, Chuck and Hex Keys",NA,"8pcs","1.5- 6mm",1
"343449","Wilko Functional Screwdriver 6 x 100mm","Wilko Functional","Screwdrivers",NA,"1","6X100mm",1
"343450","Wilko Functional Screwdriver Pozi  1 x 100mm","Wilko Functional","Screwdrivers",NA,"1","1X100mm",1
"343451","Wilko Functional Screwdriver Pozi 2 x 100mm","Wilko Functional","Screwdrivers",NA,"1","2X100mm",1
