"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"417256","Rimmel 60 Seconds Rita Ora Nail Polish Wilderness558","Rimmel","Nail Polish",NA,"1",NA,0.86
"417257","Rimmel 60 Seconds Rita Ora Nail PolishGlastonberry 300","Rimmel","Nail Polish","Red","1",NA,0.93
"417258","Rimmel 60 Seconds Rita Ora Nail PolishOragina 413","Rimmel","Nail Polish","Orange","1",NA,0.93
"417259","Rimmel 60 Seconds Rita Ora Nail Polish SweetRetreat 270","Rimmel","Nail Polish",NA,"1",NA,0.86
"417260","Rimmel 60 Seconds Rita Ora Nail Polish Rain RainGo Away 498","Rimmel","Nail Polish","Brown","1",NA,0.93
"417262","Rimmel 60 Seconds Rita Ora Nail Polish Neon Fest322","Rimmel","Nail Polish","Pink","1",NA,0.93
"417263","Rimmel 60 Seconds Rita Ora Nail Polish Peachella448","Rimmel","Nail Polish",NA,"1",NA,0.86
"417266","Rimmel 60 Seconds Rita Ora Nail Polish Port A LooBlue 880","Rimmel","Nail Polish",NA,"1",NA,0.86
"422734","Rimmel Kate Lip Balm 4g 001","Rimmel","Lip Balm",NA,"1","4g",0.93
"422735","Rimmel Match Perfection Foundation Light Porcelain","Rimmel","Liquid Foundation",NA,"1",NA,0.86
"422736","Rimmel Match Perfection Foundation Ivory","Rimmel","Liquid Foundation",NA,NA,NA,0.79
"422737","Rimmel Match Perfection Foundation True Ivory","Rimmel","Liquid Foundation",NA,NA,NA,0.79
"422738","Rimmel Match Perfection Foundation Soft Beige","Rimmel","Liquid Foundation",NA,NA,NA,0.79
"422739","Rimmel Match Perfection Foundation Classic Beige","Rimmel","Liquid Foundation",NA,"1","30ml",0.93
"422740","Rimmel Match Perfection Foundation True Nude","Rimmel","Liquid Foundation",NA,"1","30ml",0.93
"422741","Rimmel Match Perfection Foundation Natural Beige","Rimmel","Liquid Foundation",NA,"1","30ml",0.93
"422742","Rimmel Mono Eyeshadow Gold Record","Rimmel","Eye Shadow",NA,"1",NA,0.86
"422746","Rimmel Mono Eyeshadow Q Jump","Rimmel","Eye Shadow",NA,"1","3.6g",0.93
"422747","Rimmel Mono Eyeshadow Black Fender","Rimmel","Eye Shadow",NA,"1","3.6g",0.93
"426656","Rimmel Exaggerate Lip Liner Youre All Mine","Rimmel","Lip Liner",NA,"1",NA,0.86
"426658","Rimmel Exaggerate Lip Liner Call Me Crazy","Rimmel","Lip Liner",NA,"1",NA,0.86
"426659","The Only 1 Lipstick  - You're All Mine","Rimmel","Lipstick",NA,"1",NA,0.81
"426660","Rimmel The Only 1 Lipstick Best Of The Best","Rimmel","Lipstick",NA,"1",NA,0.86
"426662","Rimmel The Only 1 Lipstick Call Me Crazy","Rimmel","Lipstick",NA,"1",NA,0.86
"426663","Rimmel The Only 1 Lipstick Naughty Nude","Rimmel","Lipstick",NA,"1",NA,0.86
"426664","Rimmel Match Perfection Foundation Bronze","Rimmel","Liquid Foundation",NA,"1",NA,0.86
"441509","Rimmel Scandaleyes Reloaded Mascara Black","Rimmel","Mascara",NA,"1","14ml",0.93
"441510","Rimmel Scandaleyes Reloaded Mascara Extreme Black","Rimmel","Mascara",NA,"1","14ml",0.93
"441512","Rimmel Scandaleyes Micro Liner Black","Rimmel","Eye Liner",NA,"1","1.1ml",0.93
"441514","Rimmel Kate 15 Year Supergel Nail PolishBoho-licious","Rimmel","Nail Polish",NA,"1",NA,0.86
"441515","Rimmel Kate 15 Year Supergel Nail PolishRock N Sparkle","Rimmel","Nail Polish",NA,"1",NA,0.86
"445238","Rimmel Only 1 Lipstick Mauvement 210","Rimmel","lipstick",NA,"1","3G",0.93
"445245","Rimmel Only 1 Lipstick Matte Salute 200","Rimmel","Lipstick",NA,"1","3G",0.93
"445246","Rimmel Only 1 Lipstick Matte Take the Stage 500","Rimmel","Lipstick",NA,"1","3G",0.93
"445247","Rimmel Only 1 Lipstick Matte High Flyer 610","Rimmel","Lipstick",NA,"1","3G",0.93
"445248","Rimmel Only 1 Lipstick Matte Trendsetter 700","Rimmel","Lipstick",NA,"1","3G",0.93
"445249","Rimmel Only 1 Lipstick Matte Matte Factor 810","Rimmel","Lipstick",NA,"1","3G",0.93
"453462","Rimmel Scandaleyes Reloaded Waterproof MascaraBlack","Rimmel","Mascara",NA,"1","12ml",0.93
"453465","Rimmel Extra Long Lash Mascara Extreme Black 3","Rimmel","Mascara",NA,"1","8ml",0.93
"453466","Rimmel Lasting Finish 1000 Kisses Lip LinerPencil Blushing Nude","Rimmel","Lip Liner",NA,"1","1.2g",0.93
"453470","Rimmel Oh My Gloss Lip Oil Tint Clear","Rimmel","Lip Gloss",NA,"1","6.5ml",0.93
"453471","Rimmel Oh My Gloss Lip Oil Tint Light Pink","Rimmel","Lip Gloss",NA,"1","6.5ml",0.93
"453472","Rimmel Oh My Gloss Lip Oil Tint Pink","Rimmel","Lip Gloss",NA,"1","6.5ml",0.93
"453473","Rimmel Oh My Gloss Lip Oil Tint Corral","Rimmel","Lip Gloss",NA,"1","6.5ml",0.93
"453474","Rimmel Oh My Gloss Lip Oil Tint Red","Rimmel","Lip Gloss",NA,"1","6.5ml",0.93
"453475","Rimmel Brow Shake Filling Powder Soft Black 4","Rimmel","Brows",NA,"1","2.5g",0.93
"453478","Rimmel Brow Shake Filling Powder Medium Blonde","Rimmel","Brows",NA,"1","2.5g",0.93
"453482","Rimmel Supergel Nail Polish Sun Fun Daze 26","Rimmel","Nail Polish",NA,"1",NA,0.86
"453483","Rimmel Supergel Nail Polish Flamenco Beach 45","Rimmel","Nail Polish",NA,"1",NA,0.86
"453484","Rimmel Supergel Nail Polish Purple Splash 82","Rimmel","Nail Polish",NA,"1",NA,0.86
"453485","Rimmel Moisture Renew Lipstick Nude Shock","Rimmel","Lipstick",NA,"1",NA,0.86
"453486","Rimmel Moisture Renew Lipstick Rose Records","Rimmel","Lipstick",NA,"1",NA,0.86
"453487","Rimmel Rita Ora 60 Seconds Nail PolishFit For A Princess 202","Rimmel",NA,NA,"1",NA,0.79
"453488","Rita Ora 60 Seconds Nail Polish Ora-ngy Vibe404","Rimmel","Nail Polish",NA,"1",NA,0.81
"453489","Rimmel Rita Ora 60 Seconds Nail PolishMy Grey 807","Rimmel","Nail Polish",NA,"1",NA,0.86
"453490","Rimmel Rita Ora 60 Seconds Nail PolishHot Metal Love 811","Rimmel","Nail Polish",NA,"1",NA,0.86
