"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Age","DQ Score"
"SBK","NOT","432024","Silvine A5 Perfecto Notebook 160 Pages","Silvine",".8CM","15.9CM","21.0CM","Notebooks","A5",NA,"1",NA,NA,1
"SBK","NOT","432035","Silvine A4 Wirebound PP Cover Notebook","Silvine",".6CM","21.0CM","29.7CM","Notebooks","A4",NA,"1",NA,NA,1
"SBK","NOT","432036","Silvine A5 Wirebound PP Cover Notebook","Silvine",".6CM","14.8CM","21.0CM","Notebooks","A5",NA,"1",NA,NA,1
"SBK","NOT","432037","Silvine A6 Wirebound PP Cover Notebook","Silvine",".6CM","10.5CM","15.1CM","Notebooks","A6",NA,"1",NA,NA,1
"SBK","NOT","261628","Wilko Reporters Notebook 150 Sheets 80GSM","Wilko","21.3CM","12.5CM","2.2CM","Notebooks","150Sheets",NA,"150s",NA,NA,1
"SBK","NOT","262257","Wilko Wiro Notebook A4 lined 100 Sheets 80GSM","Wilko","30.3CM","22.4CM","1.9CM","Notebooks","A4",NA,"1",NA,NA,1
"SBK","NOT","262258","Wilko Wirobound Notebook A4 lined 100 Sheets 80GSM","Wilko","30.3CM","22.3CM","1.9CM","Notebooks","A4",NA,"1",NA,NA,1
"SBK","NOT","262803","Wilko Wiro Notebook A4 80 Sheets 80GSM","Wilko","30.7CM","22.0CM","1.6CM","Notebooks","A4",NA,"1",NA,NA,1
"SBK","NOT","317374","Wilko Shopping List Lined 100 Sheets 70GSM","Wilko","18.1CM","7.6CM","1.1CM","Journals, Planners and Organisers","70gsm",NA,"1",NA,NA,1
"SBK","NOT","317393","Wilko Wiro Notebook A5 Ruled 80 Sheets 80GSM","Wilko","21.9CM","15.8CM","1.6CM","Notebooks","A5",NA,"1",NA,NA,1
"SBK","NOT","317395","Wilko Notebook A7 80 Sheets 80GSM","Wilko","11.4CM","8.4CM","1.6CM","Notebooks","A7",NA,"1",NA,NA,1
"SBK","NOT","319418","Wilko Notebook A5 Ruled 100 Sheets 80GSM","Wilko","21.7CM","16.2CM","2.0CM","Notebooks","A5",NA,"1",NA,NA,1
"SBK","NOT","348725","Wilko Notebook PP Cover Pink A7","Wilko","11.5CM","8.0CM","1.5CM","Notebooks","A7",NA,"1",NA,NA,1
"SBK","NOT","348726","Wilko Notebook PP Cover Pink A6","Wilko","15.8CM","11.7CM","2.0CM","Notebooks","A6",NA,"1",NA,NA,1
"SBK","NOT","348727","Wilko Notebook PP Cover Blue A7","Wilko","11.5CM","8.0CM","1.5CM","Notebooks","A7",NA,"1",NA,NA,1
"SBK","NOT","348728","Wilko Notebook PP Cover Blue A6","Wilko","15.8CM","11.7CM","2.0CM","Notebooks","A6",NA,"1",NA,NA,1
"SBK","NOT","348729","Wilko Project Book Lined A5","Wilko","21.1CM","17.0CM","2.0CM","Project Books","A5",NA,"1",NA,NA,1
"SBK","NOT","416975","Wilko A5 PU Journal Square Paper","Wilko","21.0CM","14.8CM","1.5CM","Notebooks","A5",NA,"1",NA,NA,1
"SBK","NOT","416976","Wilko A5 PU Journal Plain Paper","Wilko","21.0CM","14.8CM","1.5CM","Notebooks","A5",NA,"1",NA,NA,1
"SBK","NOT","432059","Wilko A7 Vibrant Glitter Notebook","Wilko","10.5CM","7.5CM","1.2CM","Notebooks","A7",NA,"1",NA,NA,1
"SBK","NOT","432501","Wilko A5 Metallic Notebook","Wilko","1.2CM","21.3CM","15.3CM","Notebooks","A5",NA,"1",NA,NA,1
"SBK","NOT","432502","Wilko A6 Metallic Notebook","Wilko","1.2CM","15.1CM","11.0CM","Notebooks","A6",NA,"1",NA,NA,1
"SBK","NOT","432503","Wilko A5 Pastel Casebound Notebook","Wilko","1.2CM","21.3CM","15.3CM","Notebooks","A5",NA,"1",NA,NA,1
"SBK","NOT","432504","Wilko A6 Pastel Casebound Notebook","Wilko","1.2CM","15.1CM","11.0CM","Notebooks","A6",NA,"1",NA,NA,1
"SBK","NOT","432505","Wilko A7 Pastel Casebound Notebook","Wilko","1.2CM","11.0CM","7.7CM","Notebooks","A7",NA,"1",NA,NA,1
"SBK","NOT","432508","Wilko A5 Chunky Map Wiro Notebook","Wilko","2.1CM","16.5CM","21.1CM","Notebooks","A5",NA,"1",NA,NA,1
"SBK","NOT","432509","Wilko Refill Pad A4 80GSM","Wilko",".9CM","21.0CM","29.7CM","Refill Pads","A4",NA,"1",NA,NA,1
"SBK","NOT","432510","Wilko Colour Refill Pad A4","Wilko","2.0CM","21.0CM","29.7CM","Refill Pads","A4",NA,"1",NA,NA,1
"SBK","NOT","439920","Wilko Notebook A4 Hard Back Wiro Lime","Wilko",".8CM","21.0CM","29.7CM","Notebooks","A4",NA,"1",NA,NA,1
"SBK","NOT","439922","Wilko Notebook A5 Hard Back Wiro Lime","Wilko",".8CM","14.8CM","21.0CM","Notebooks","A5",NA,"1",NA,NA,1
"SBK","NOT","439923","Wilko Notebook A4 Wiro Pp Cover Lime","Wilko",".8CM","21.0CM","29.7CM","Notebooks","A4",NA,"1",NA,NA,1
"SBK","NOT","439925","Wilko Notebook A5 Wiro Pp Cover Lime","Wilko",".8CM","14.8CM","21.0CM","Notebooks","A5",NA,"1",NA,NA,1
"SBK","NOT","94600","Wilko Refill Pad A4 Plain 80 Sheets 70GSM","Wilko","29.7CM","21.0CM",".9CM","Refill Pads","A4",NA,"1",NA,NA,1
"SBK","NOT","240102","Wilko Functional Reporters Notebook 60 Sheets","Wilko Functional","20.6CM","12.5CM","1.2CM","Notebooks","60Sheets",NA,"60s",NA,NA,1
"SBK","NOT","432511","Wilko Functional Refill Pad 60GSM","Wilko Functional",".8CM","21.0CM","29.7CM","Refill Pads","A4",NA,"1",NA,NA,1
"SBK","NOT","433205","Wilko Functional A5 Notebook","Wilko Functional",".7CM","14.8CM","21.0CM","Notebooks","A5",NA,"1",NA,NA,1
"SBK","OFF","432030","Silvine Record Cards Multi Colour 6 x 4in 100pk","Silvine","2.4CM","10.1CM","15.2CM","Record and Index Cards","152mmx102mm",NA,"1",NA,NA,1
"SBK","OFF","432031","Silvine Record Cards White 6 x 4in 100pk","Silvine","2.4CM","10.1CM","15.2CM","Record and Index Cards","152mmx102mm",NA,"1",NA,NA,1
"SBK","OFF","434314","Silvine Cash Book 72 Pages","Silvine",".4CM","9.9CM","15.8CM","Cash Books","158mmx99mm",NA,"1",NA,NA,1
"SBK","OFF","434315","Silvine Duplicate Memo Book","Silvine","1.4CM","105.5CM","127.0CM","Memo Pads, Blocks and Boxes","102mmx127mm","Red","1",NA,NA,1
"SBK","OFF","130278","Wilko Raffle and Cloakroom Tickets 1-1000","Wilko","13.8CM","11.0CM","1.8CM","Raffle Tickets","Small",NA,"1000 tickets",NA,NA,1
"SBK","OFF","261312","Wilko Ringbinder A4 Assorted Colours","Wilko","32.0CM","28.0CM","3.5CM","Ringbinder","A4","Multi","1","Plastic",NA,1
"SBK","OFF","348799","Wilko A4 Document Wallet with Zipper","Wilko","33.0CM","26.5CM","1.0CM","Document Folders and Wallets","325 x 250 x 26mm","Multi","1","Plastic",NA,1
"SBK","OFF","433509","Wilko Paper Index Box White","Wilko","8.5CM","18.6CM","11.0CM","Storage Box","35 x 40 x 20mm","White","12","Metal And Wire",NA,1
"SBK","OFF","433523","Wilko White Linen Effect Storage Box and Lid","Wilko","8.5CM","24.5CM","36.0CM","Storage Box","38.0X50.0X19.0cm","White","4","Paper, Matel wiro",NA,1
"SBK","OFF","433531","Wilko Touch Mesh Zipper Pouch Assorted 2pk","Wilko",".5CM","25.5CM","35.0CM","Document Folders and Wallets","Assorted","White","2","Plastic",NA,1
"SBK","OFF","439929","Wilko Home Box File A4 Purple","Wilko","25.5CM","12.5CM","35.5CM","Box File","35.5x12.5x25cm","Purple","1","paper",NA,1
"SBK","OFF","439930","Wilko Home Box File A4 Lime","Wilko","25.5CM","12.5CM","35.5CM","Box File","35.5x12.5x25cm","Green","1","paper",NA,1
"SBK","PAR","413606","Illooms Light Up Balloons Pink Happy Birthday 5pk","Illoom","21.5CM","11.3CM","2.0CM","Balloons","Inflated balloon 23cm diameter","Pink","5",NA,NA,1
"SBK","PAR","441597","Illooms Light Up Balloons Marble 5pk","Illoom","21.5CM","11.3CM","2.0CM","Balloons","Inflated balloon 23cm diameter","Multi","5",NA,NA,1
"SBK","PAR","441599","Illooms Light Up Balloons Pink Marble 5pk","Illoom","21.5CM","11.3CM","2.0CM","Balloons","Inflated balloon 23cm diameter","Multi","5",NA,NA,1
"SBK","PAR","441600","Illooms Light Up Balloons Mixed 15pk","Illoom","21.5CM","18.0CM","3.0CM","Balloons","Inflated balloon 23cm diameter","Multi","15",NA,NA,1
"SBK","PAR","441601","Illooms Light Up Balloons Disney Princess 5pk","Illoom","21.5CM","11.3CM","2.0CM","Balloons","Inflated balloon 23cm diameter","Multi","5",NA,NA,1
"SBK","PAR","441603","Illooms Light Up Balloons Marvel Avengers 5pk","Illoom","21.5CM","11.3CM","2.0CM","Balloons","Inflated balloon 23cm diameter","Multi","5",NA,NA,1
"SBK","PAR","441605","Illooms Light Up Balloons Stars 5pk","Illoom","21.5CM","11.3CM","2.0CM","Balloons","Inflated balloon 23cm diameter","Multi","5",NA,NA,1
"SBK","PAR","441606","Illooms Light Up Balloons Blue Happy Birthday 5pk","Illoom","21.5CM","11.3CM","2.0CM","Balloons","Inflated balloon 23cm diameter","Blue","5",NA,NA,1
"SBK","PAR","441562","Shopkins Plates 8pk","Shopkins","2.0CM","23.0CM","23.0CM","Party Plates","23cm",NA,"8",NA,NA,1
"SBK","PAR","441563","Shopkins Party Cups 8pk","Shopkins","13.0CM","7.5CM","7.5CM","Party Cups","260ml",NA,"8",NA,NA,1
"SBK","PAR","441564","Shopkins Party Napkins 16pk","Shopkins","1.5CM","16.5CM","16.5CM","Napkins","33cm x 33cm",NA,"16",NA,NA,1
"SBK","PAR","441565","Shopkins Party Tablecover","Shopkins",".5CM","16.0CM","41.0CM","Table Covers","138cm x 183cm",NA,"1",NA,NA,1
"SBK","PAR","441566","Shopkins Party Bags 8pk","Shopkins",".2CM","17.5CM","28.5CM","Loot Bags","23cm x 16.5cm",NA,"8",NA,NA,1
"SBK","PAR","441567","Shopkins Party Invitations 20pk","Shopkins","1.3CM","16.0CM","26.5CM","Party Invites","21cm x 15cm","Pink","20",NA,NA,1
"SBK","PAR","318330","Snazaroo Face Painting Kit","Snazaroo","24.5CM","15.2CM","3.3CM","Face Paints",NA,"Multi","1",NA,"36 Months",1
"SBK","PAR","441358","Tsum Tsum Plates 23cm 8pk","Tsum Tsum","2.0CM","22.5CM","22.5CM","Party Plates","Round Diameter 23CM",NA,"8",NA,NA,1
"SBK","PAR","441359","Tsum Tsum Plastic Cups 8pk","Tsum Tsum","13.0CM","7.0CM","7.0CM","Party Cups","200ML",NA,"8",NA,NA,1
"SBK","PAR","441360","Tsum Tsum Paper Napkins 20pk","Tsum Tsum","2.0CM","16.0CM","16.0CM","Napkins","33X33CM",NA,"20",NA,NA,1
"SBK","PAR","441361","Tsum Tsum Tablecover","Tsum Tsum",".2CM","20.0CM","37.0CM","Table Covers","120CM X 180CM",NA,"1",NA,NA,1
"SBK","PAR","441362","Tsum Tsum Party Bags 6pk","Tsum Tsum",".1CM","18.0CM","30.0CM","Loot Bags","28CM X 17CM",NA,"6",NA,NA,1
"SBK","PAR","441363","Tsum Tsum Party Invitations 6pk","Tsum Tsum",".6CM","11.0CM","22.0CM","Party Invites","22CM X 11CM",NA,"6",NA,NA,1
"SBK","PAR","297824","Wilko Coloured Bunting 3.6m","Wilko","34.5CM","27.6CM",".3CM","Bunting",NA,"Multi","1",NA,NA,1
"SBK","PAR","413634","Wilko Party Numerical Birthday Candle Number 0","Wilko","7.0CM","3.0CM",".0CM","Candles","7cmx3cm","Multi","1",NA,NA,1
"SBK","PAR","413635","Wilko Party Numerical Birthday Candle Number 1","Wilko","7.0CM","3.0CM",".0CM","Candles","7cmx3cm","Multi","1",NA,NA,1
"SBK","PHO","348684","Wilko Scrapbook A3 60 Sheets 120GSM","Wilko","42.5CM","31.4CM","1.3CM","Scrapbooks","A3",NA,"1",NA,NA,1
"SBK","PHO","413209","Wilko Colour Photo Album","Wilko","22.0CM","22.0CM","5.2CM","Photo Album","5.2 x 22 x 22cm","Multi","1",NA,NA,1
"SBK","PHO","432620","Wilko Black Scrapbook 25 Sheets","Wilko","22.4CM","23.3CM","2.0CM","Scrapbooks","22.5*22.5*1.2cm",NA,"1",NA,NA,1
"SBK","PHO","432622","Wilko Address Book A6 Black","Wilko","14.8CM","10.5CM","1.0CM","Address Books","35.0*17.5*26.0cm",NA,"1",NA,NA,1
