"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Age","DQ Score"
"SBK","BOM","411733","Wilko Mind Melting Crosswords","Wilko","20.4CM","16.0CM",".9CM","Puzzle Books",NA,NA,"1",NA,NA,1
"SBK","BOM","411734","Wilko Puzzle Tastic Wordsearch","Wilko","20.4CM","16.0CM",".9CM","Puzzle Books",NA,NA,"1",NA,NA,1
"SBK","COM","317301","Wilko A4 Presentation Card Sheets 160gsm x 50","Wilko","30.2CM","21.6CM","1.2CM","Card","A4","White","50s",NA,NA,1
"SBK","COO","427346","Wilko I Like Cats One Line A Day Diary","Wilko","11.0CM","8.0CM","2.3CM","Diary","2.3 x 8 x 11cm",NA,"1",NA,NA,1
"SBK","COO","427348","Wilko I Like Cats Cat Head Whiteboard","Wilko","34.0CM","35.5CM","1.3CM","whiteboard","1.3 x 34 x 35.5cm",NA,"1",NA,NA,1
"SBK","COO","427352","Wilko I Like Cats Revision Notes","Wilko","1.5CM","14.0CM","10.5CM","Record and Index Cards","1.3 x 14.0 x 10.5cm",NA,"1",NA,NA,1
"SBK","COO","427355","Wilko I Like Cats Pens 3pk","Wilko","14.3CM","4.0CM","1.8CM","Ballpoint Pens","1.1 x 13.7cm",NA,"3",NA,NA,1
"SBK","COO","427361","Wilko I Like Cats A7 Notebooks","Wilko","11.0CM","7.5CM","2.5CM","Notebooks","A7",NA,"1",NA,NA,1
"SBK","COO","427366","Wilko I Like Cats B5 Stapled Notebook","Wilko","25.0CM","17.7CM","1.0CM","Notebooks","B5",NA,"1",NA,NA,1
"SBK","COO","427371","Wilko I Like Cats A4 Display Book","Wilko","31.0CM","23.5CM","2.5CM","Document Folders and Wallets","A4",NA,"1",NA,NA,1
"SBK","COO","427384","Wilko I Like Cats 2 Part Notebook","Wilko","22.0CM","16.0CM","1.5CM","Notebooks","A5",NA,"1",NA,NA,1
