"PSA_1","PSA_2","Article","Web Description","Brand","Type","Pack Qty","Colour","Size","Power","Age","Model Number","Material","Assembly","DQ Score"
"SBK","ADU","415377","Wilko Let's Create Soft Pastels Assorted Colours 10pk","Wilko","Chalks and Pastels","10",NA,"57.5x35x14(cm)",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415378","Wilko Let's Create Tracing Paper A4 60gsm 30 Sheets","Wilko","Tracing Paper ","30",NA,"31.5 x 22.0 x 21.0cm",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415379","Wilko Let's Create Watercolour Set","Wilko","Paints and Paint Brushes","8",NA,"38x26x20(cm)",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415380","Wilko Let's Create Acrylics Set","Wilko","Paints and Paint Brushes","8",NA,"35x26x20(cm)",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415381","Wilko Beech Studio Display Easel","Wilko","Easel","8",NA,"46x35x22(cm)",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415382","Wilko Let's Create Canvas Pad A3 220gsm 12 Sheets","Wilko","Sketch and Paint Pads","1",NA,"A3",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415383","Wilko Let's Create Canvas Pad A4 220gsm 12 Sheets","Wilko","Sketch and Paint Pads","1",NA,"A4",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415384","Wilko Let's Create Watercolour Pad A4 180gsm 24 Sheets","Wilko","Sketch and Paint Pads","1",NA,"A4",NA,NA,NA,NA,NA,0.93
"SBK","ADU","415385","Wilko Let's Create Watercolour Pad A3 180gsm 24 Sheets","Wilko","Sketch and Paint Pads","1",NA,"A3",NA,NA,NA,NA,NA,0.93
"SBK","ADU","433050","Wilko Let's Create Craft Glue Strip 7m","Wilko","Glue Strips","1","Multi",NA,NA,NA,NA,"Plastic",NA,0.941666666666667
"SBK","ADU","433051","Wilko Let's Create Glue Dots 200pk","Wilko","Glue Dots","1","Multi",NA,NA,NA,NA,"Plastic",NA,0.941666666666667
"SBK","ADU","433071","Wilko Let's Create Chalkboard Labels 10pk","Wilko","Chalkboard Stickers","10","Multi",NA,NA,NA,NA,NA,NA,0.93
"SBK","BOM","257753","Gold Stars Phonics Book Pre-School Ages 3-5 Years","Gold Stars","Study & Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"SBK","BOM","257779","Gold Stars Starting Phonics Educational Workbook Pre-School Ages 3-5 Years","Gold Stars","Study & Revision Books",NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
