"Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","DQ Score"
"446850","Wilko Ceramic Diffuser 100ml","Wilko","Reed Diffusers",NA,"100ml","No",NA,0.883333333333333
"446962","Wilko Ceramic Candle","Wilko","Candles",NA,NA,"No",NA,0.825
"446971","Wilko Glass Candle With Metal Lid Pearlescent","Wilko","Candles",NA,NA,"No",NA,0.825
"447175","Wilko Words Ceramic Jug","Wilko","Jugs","Green","19.5 x 17 x 12cm","No",NA,0.941666666666667
"447178","Wilko Hessian Love Bunting","Wilko","Bunting",NA,NA,"No","Fabric",0.883333333333333
"455356","Wilko Floral Canvasses Grey 20 x 20cm 3pk","Wilko","Wall Art",NA,"20x20x1.8cm each","No","Polyester Canvas, MDF frame, metal hanger",0.941666666666667
"455444","Wilko Orchid in Two Tone Vase","Wilko","Vase with Flower",NA,"20 x 9 x 18 cms","No","POLYESTER WIRE GLASS",0.941666666666667
"455733","Wilko Velour Cushion Mink 50 x 50cm","Wilko","Cushions",NA,"50 x 50cm","No",NA,0.883333333333333
"455887","Wilko Letter Rack With Drawer","Wilko","Letter Rack",NA,NA,"No","Wood / MDF",0.883333333333333
"455891","Wilko Heart Storage Drawers","Wilko","Storage Drawers",NA,"20 x 22 x 9cm","No","Wood/MDF",0.941666666666667
"455945","Wilko Silver Leaf Tealight Holder","Wilko","Tealight Holders",NA,"W: 8.5cm x D: 8.5cm x H: 8cm","No","Stoneware",0.941666666666667
