"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"DIY","TOO","345549","Black and Decker Hammer Drill In Kitbox 500W","Black & Decker",0.81
"DIY","TOO","345557","Black and Decker Mouse Sander and Kitbag15 Accessories","Black & Decker",0.6
"DIY","TOO","345559","Black and Decker Angle Grinder 5 Disc 750W 115mm","Black & Decker",0.81
"DIY","TOO","427716","Black and Decker Cordless Lithium Screwdriver 3.6V","Black & Decker",0.55
"DIY","TOO","427717","Black and Decker  Random Orbital Sander 125mm","Black & Decker",0.76
"DIY","TOO","427718","Black and Decker Compact Jigsaw and Blade 400W","Black & Decker",0.83
"DIY","TOO","449823","Black and Decker Piranha Orbital Sanding Sheets 5pk","Black & Decker",0.88
"DIY","TOO","449824","Black and Decker Piranha Mouse Sanding Sheets 5pk","Black & Decker",0.88
"DIY","TOO","449825","Black and Decker Drill Bit Set 31 Piece","Black & Decker",0.6
"DIY","TOO","449826","Black and Decker Drill Driver Lithium Ion 18V","Black & Decker",0.6
"DIY","TOO","449827","Black and Decker Fast Battery Charger Lithium Ion","Black & Decker",0.55
"DIY","TOO","449828","Black and Decker Battery 2.0AH Lithium Ion 18V","Black & Decker",0.6
"DIY","TOO","449829","Black and Decker Impact Driver - Bare Unit 18V","Black & Decker",0.76
"DIY","TOO","451101","Black and Decker Cordless Hammer Drill Lithium lon18V","Black & Decker",0.88
"DIY","TOO","209227","Jigsaw Blades Fine Cutting 2pk","Wilko",0.81
"DIY","TOO","286633","Ultra Steel Screwdriver Set 38 Piece","Wilko",0.95
"DIY","TOO","343425","Wilko Tape Measure 8m","Wilko Best",0.8625
"DIY","TOO","344220","Wilko Professional Hacksaw 12in","Wilko Best",0.8625
"DIY","TOO","193592","Utility Box 16in","Wilko Functional",0.775
"DIY","TOO","193596","Utility Tool Box 12.5in","Wilko Functional",0.775
"DIY","TOO","206883","Wilko Radio Screwdriver Small","Wilko Functional",0.8625
"DIY","TOO","209196","Wilko Precision Screwdriver Set 6 Piece","Wilko Functional",0.8625
"DIY","TOO","209348","Functional Neon Tape Measure 3m","Wilko Functional",0.8625
"DIY","TOO","343371","Wilko G Clamp 2in","Wilko Functional",0.8625
"DIY","TOO","343372","Wilko G Clamp 3in","Wilko Functional",0.8625
"DIY","TOO","343413","Wilko Plastic Torpedo Level 9in","Wilko Functional",0.8625
"DIY","TOO","343441","Wilko Long Nose Plier 6In","Wilko Functional",0.8625
"DIY","TOO","343453","Wilko Best Magnetic Tip Screwdriver  6 x 100mm","Wilko Functional",0.8625
"DIY","TOO","343552","Wilko Adjustable Wrench 8In","Wilko Functional",0.95
"DIY","TOO","343911","Wilko Wood Chisel Set","Wilko Functional",0.8625
"DIY","TOO","344234","Wilko Tenon Saw 250mm","Wilko Functional",0.8625
