"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"DIY","BIN","344137","Wilko Numeral 2 Silver Effect 2in","Wilko","5.0CM","2.2CM",".3CM","Silver Numbers","2in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344150","Wilko Numeral 3 Silver Effect 2in","Wilko","5.0CM","2.0CM",".3CM","Silver Numbers","2in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344153","Wilko Numeral 4 Silver Effect 2in","Wilko","5.0CM","2.4CM",".3CM","Silver Numbers","2in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344155","Wilko Numeral 5 Silver Effect 2in","Wilko","5.0CM","2.2CM",".3CM","Silver Numbers","2in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344157","Wilko Numeral 6 Silver Effect 2in","Wilko","5.0CM","2.2CM",".3CM","Silver Numbers","2in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344160","Wilko Numeral 7 Silver Effect 2in","Wilko","5.0CM","2.1CM",".3CM","Silver Numbers","2in","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344169","Wilko Numeral 8 Silver Effect 2in","Wilko","5.0CM","2.5CM",".3CM","Silver Numbers","2in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344171","Wilko Numeral 9 Silver Effect 2in","Wilko","5.0CM","2.3CM",".3CM","Silver Numbers","2in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344176","Wilko Numeral 0 Gold Effect 3in","Wilko","7.8CM","3.8CM",".4CM","Gold Numbers","3in","Gold","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344179","Wilko Numeral 1 Gold Effect 3in","Wilko","7.7CM","2.3CM",".4CM","Gold Numbers","3in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344180","Wilko Numeral 2 Gold Effect 3in","Wilko","7.5CM","3.3CM",".4CM","Gold Numbers","3in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344182","Wilko Numeral 3 Gold Effect 3in","Wilko","7.5CM","3.3CM",".4CM","Gold Numbers","3in","Gold","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344183","Wilko Numeral 4 Gold Effect 3in","Wilko","7.4CM","3.7CM",".4CM","Gold Numbers","3in","Gold","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344185","Wilko Numeral 5 Gold Effect 3in","Wilko","7.5CM","3.2CM",".4CM","Gold Numbers","3in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344186","Wilko Numeral 6 Gold Effect 3in","Wilko","7.6CM","3.5CM",".4CM","Gold Numbers","3in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344281","Wilko Numeral 7 Gold Effect 3in","Wilko","7.5CM","3.3CM",".4CM","Gold Numbers","3in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344295","Wilko Numeral 8 Gold Effect 3in","Wilko","7.6CM","3.9CM",".4CM","Gold Numbers","3in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344299","Wilko Numeral 9 Gold Effect 3in","Wilko","7.5CM","3.5CM",".4CM","Gold Numbers","3in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344304","Wilko Numeral 0 Silver Effect 3in","Wilko","7.8CM","3.8CM",".4CM","Silver Numbers","3in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344326","Wilko Numeral 1 Silver Effect 3in","Wilko","7.7CM","2.3CM",".4CM","Silver Numbers","3in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344330","Wilko Numeral 2 Silver Effect 3in","Wilko","7.5CM","3.4CM",".4CM","Silver Numbers","3in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344338","Wilko Numeral 3 Silver Effect 3in","Wilko","7.5CM","3.3CM",".4CM","Silver Numbers","3in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344345","Wilko Numeral 4 Silver Effect 3in","Wilko","7.5CM","3.6CM",".4CM","Silver Numbers","3in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344348","Wilko Numeral 5 Silver Effect 3in","Wilko","7.5CM","3.2CM",".4CM","Silver Numbers","3in","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344367","Wilko Numeral 6 Silver Effect 3in","Wilko","7.6CM","3.5CM",".4CM","Silver Numbers","3in","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344369","Wilko Numeral 7 Silver Effect 3in","Wilko","7.5CM","3.2CM",".4CM","Silver Numbers","3in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344371","Wilko Numeral 8 Silver Effect 3in","Wilko","7.7CM","3.9CM",".4CM","Silver Numbers","3in","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
"DIY","BIN","344373","Wilko Numeral 9 Silver Effect 3in","Wilko","7.5CM","3.4CM",".4CM","Silver Numbers","3in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344453","Wilko Letter A Gold Effect 1.5in","Wilko","3.8CM","2.1CM",".3CM","Gold Letters","1.5in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344455","Wilko Letter B Gold Effect 1.5in","Wilko","3.8CM","1.8CM",".3CM","Gold Letters","1.5in","Gold",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344456","Wilko Letter A Silver Effect  1.5in","Wilko","3.8CM","2.1CM",".3CM","Silver Letters","1.5in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344458","Wilko Letter B Silver Effect 1.5in","Wilko","3.8CM","1.8CM",".3CM","Silver Letters","1.5in","Silver",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344488","Wilko Vinyl Number 0 Black 50mm","Wilko","5.0CM","3.3CM",".1CM","Black Numbers","50mm","Black",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344490","Wilko Vinyl Number 1 Black 50mm","Wilko","4.9CM","2.0CM",".1CM","Black Numbers","50mm","Black",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344496","Wilko Vinyl Number 2 Black 50mm","Wilko","5.0CM","3.3CM",".1CM","Black Numbers","50mm","Black",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344497","Wilko Vinyl Number 3 Black 50mm","Wilko","5.0CM","3.3CM",".1CM","Black Numbers","50mm","Black",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.883333333333333
"DIY","BIN","344498","Wilko Vinyl Number 4 Black 50mm","Wilko","5.0CM","3.3CM",".1CM","Black Numbers","50mm","Black","1",NA,NA,NA,NA,NA,NA,NA,NA,0.941666666666667
