"Article","Web Description","Brand","Type","Size","Capacity","Colour","Assembly","Power","Model Number","Pack Qty","Material","DQ Score"
"428220","Trust Portable Speaker Set","Trust","Speakers","6, 6x6, 6x10, 8cm",NA,NA,NA,"USB Use","19912",NA,NA,0.941666666666667
"428228","Trust TV Connection Kit Card Reader","Trust","Card Reader","9x6, 8x1, 1cm",NA,NA,NA,"USB Use","19527",NA,NA,0.941666666666667
"428231","Urban Revolt Waterproof Wireless Speaker","Trust","Speakers","4x8, 5x9 cm",NA,NA,NA,"Bluetooth, USB","20097",NA,NA,0.841666666666667
"261730","Wilko A4 Matt Coated Picture Paper 120gsm","Wilko","Photo Paper","A4",NA,NA,NA,NA,NA,NA,NA,0.825
"261757","Wilko Photo Paper 170GSM A4 Glossy","Wilko","Photo Paper","A4",NA,NA,NA,NA,NA,NA,NA,0.825
"261758","Wilko A4 Premium Photo Paper Glossy Sheets 250gsmx 20","Wilko","Photo Paper","A4",NA,NA,NA,NA,NA,NA,NA,0.825
"261759","Wilko Photo Paper 170GSM 6X4 Glossy","Wilko","Photo Paper","6x4in",NA,NA,NA,NA,NA,NA,NA,0.825
"261760","Wilko Premium 6x4 Size Photo Paper Glossy 250gsm x25","Wilko","Photo Paper","6x4in",NA,NA,NA,NA,NA,NA,NA,0.825
"261768","Wilko 10 x 21 Self Adhesive Labels White 63 x 38mm","Wilko","Labels","63x38mm",NA,"White",NA,NA,NA,NA,NA,0.883333333333333
"262748","Wilko Remanufactured Epson T0715 BCMY InkCartridge Multipack","Wilko","Colour Ink Cartridges","4 Pack",NA,"Multi",NA,NA,"T071",NA,NA,0.941666666666667
"262752","Wilko Remanufactured HP56 Black Ink Cartridge","Wilko","Black Ink Cartridges","24ml",NA,"Black",NA,NA,"HP56",NA,NA,0.941666666666667
"262754","Wilko Remanufactured HP21 Black Ink Cartridge","Wilko","Black Ink Cartridges","10ml",NA,"Black",NA,NA,"HP21",NA,NA,0.941666666666667
"262763","Wilko Ink Refill Kit Black 30ml x 4","Wilko","Black Ink Cartridges",NA,NA,"Black",NA,NA,NA,NA,NA,0.825
"262764","Wilko Refill Kit Colour 30ml x 4","Wilko","Colour Ink Cartridges","4x30ml",NA,"Multi",NA,NA,NA,NA,NA,0.883333333333333
"285800","Wilko Remanufactured Epson T0711 Black InkCartridge","Wilko","Black Ink Cartridges","13ml",NA,"Black",NA,NA,"TO711",NA,NA,0.941666666666667
"289110","Wilko Remanufactured Canon CL-41 Colour InkCartridge","Wilko","Colour Ink Cartridges","24ml",NA,"Multi",NA,NA,"PG41",NA,NA,0.941666666666667
"306963","Wilko Remanufactured Canon PG-510 Black InkCartridge","Wilko","Black Ink Cartridges","11.5ml",NA,"Black",NA,NA,"PG-510",NA,NA,0.941666666666667
"306964","Wilko Remanufactured Epson T1281 Black InkCartridge","Wilko","Black Ink Cartridges","13ml",NA,"Black",NA,NA,"T1281",NA,NA,0.941666666666667
"306965","Wilko Remanufactured Epson T1282/3/4 CMY InkCartridge Multipack","Wilko","Colour Ink Cartridges",NA,NA,NA,NA,NA,"T1282/3/4 CMY",NA,NA,0.825
"306966","Wilko Remanufactured Canon CL-511 Colour InkCartridge","Wilko","Colour Ink Cartridges","CL-511",NA,NA,NA,NA,"CL511",NA,NA,0.883333333333333
"306969","Wilko Remanufactured HP364 Black Ink Cartridge","Wilko","Black Ink Cartridges","10ml",NA,"Black",NA,NA,"HP364",NA,NA,0.941666666666667
"306970","Wilko Remanufactured HP364 CMY Ink CartridgeMultipack","Wilko","Colour Ink Cartridges","3x5ml",NA,"Multi",NA,NA,"HP364",NA,NA,0.941666666666667
"319107","Wilko Remanufactured Kodak 10 Black & ColourMultipack","Wilko","Colour Ink Cartridges","19ml and 62.5ml",NA,"Multi",NA,NA,NA,NA,NA,0.883333333333333
"319273","Wilko Copier Paper A4 500s","Wilko","Copier Paper","A4",NA,"White",NA,NA,NA,NA,NA,0.883333333333333
"332271","Wilko Remanufactured HP301 Black Ink Cartridge","Wilko","Black Ink Cartridges","6ml",NA,"Black",NA,NA,"HP301",NA,NA,0.941666666666667
"332274","Wilko Remanufactured HP301 Colour Ink Cartridge","Wilko","Colour Ink Cartridges","7.5ml",NA,NA,NA,NA,"HP301",NA,NA,0.883333333333333
"348901","Wilko Remanufactured Epson T1801 Black InkCartridge","Wilko","Black Ink Cartridges",NA,NA,"Black",NA,NA,"T01801",NA,NA,0.883333333333333
"348902","Wilko Remanufactured Epson T1806 BCMY InkCartridge Multipack","Wilko","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"BCMY",NA,NA,0.883333333333333
"348903","Wilko Remanufactured Canon PG-540XL Black InkCartridge","Wilko","Black Ink Cartridges",NA,NA,"Black",NA,NA,"PG540XL",NA,NA,0.883333333333333
"348904","Wilko Remanufactured Canon CL-541XL Colour InkCartridge","Wilko","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"CL541XL",NA,NA,0.883333333333333
"422555","Wilko Epson T2601 Black Inkjet Cartridge","Wilko","Black Ink Cartridges","10ml of Ink",NA,"Black",NA,NA,NA,NA,NA,0.883333333333333
"422556","Wilko Epson T2601/12/13/14 BCMY Multipk","Wilko","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,NA,NA,NA,0.825
"428846","Micro Docking Station","Wilko","Docking Station","Micro USB Docking Station 82cm x 58cm",NA,NA,NA,NA,"WKSMDS846",NA,NA,0.833333333333333
